slot_id,slot_width,mac,desc,isiot,ethlen,ethsum,ethstd,remote_ip,avg_ttl,tcp_udp_ratio,ports,tcpts_skew,max_winds,udns,dns,avg_ua
1546731090.88,240,5c:70:a3:61:5a:04,nexus 5x,0,15,1017,24.745869564065913,2,64.0,1.0,2,368153.97975973866,395,0,0,
1546731292.89,60,f4:f5:e8:57:86:a6,Chromecast,1,46,9097,1.7592314121056087,7,116.090909091,0.333333333333,6,,403,2,3,
1546731292.89,60,e0:94:67:31:ab:f0,lenovo laptop,0,102,16349,1.0288508802167,14,117.84,0.333333333333,6,,17520,2,3,
1546731292.89,60,dc:0b:34:f2:20:42,LG G3,0,3,201,2.5351264476776123,1,64.0,1.0,1,,1249,0,0,
1546731292.89,60,34:e6:ad:29:64:8b,Dell laptop,0,44,11114,1.7125336596743765,5,55.4285714286,0.5,4,,17520,2,3,
1546731292.89,60,5c:70:a3:61:5a:04,nexus 5x,0,5,309,8.377844886349544,1,64.0,1.0,1,0.016791780678315004,351,0,0,
1546731267.8,120,f4:f5:e8:57:86:a6,Chromecast,1,329,34229,1.0824147828142607,8,71.0523076923,0.333333333333,6,1.9004043489425917,403,3,7,
1546731267.8,120,e0:94:67:31:ab:f0,lenovo laptop,0,176,30701,1.1567644727127655,15,122.16091954,0.333333333333,6,,17520,2,3,
1546731267.8,120,dc:0b:34:f2:20:42,LG G3,0,3,201,2.5351264476776123,1,64.0,1.0,1,,1249,0,0,
1546731267.8,120,34:e6:ad:29:64:8b,Dell laptop,0,78,19318,1.8902291197481613,6,44.4931506849,0.5,4,,17520,2,6,
1546731267.8,120,5c:70:a3:61:5a:04,nexus 5x,0,12,792,13.209540798609295,2,64.0,1.0,2,1795033.0631929394,395,0,0,
1546731353.09,60,f4:f5:e8:57:86:a6,Chromecast,1,283,25109,0.7999601328582895,7,64.0,0.5,4,0.18666492963169048,403,3,4,
1546731353.09,60,08:62:66:b2:82:d4,Asus ZenPad,0,2,179,0.0,1,64.0,1.0,1,,1386,0,0,
1546731353.09,60,e0:94:67:31:ab:f0,lenovo laptop,0,58,8716,1.4629668028117782,11,128.0,0.4,5,,1024,0,0,
1546731353.09,60,dc:0b:34:f2:20:42,LG G3,0,11,2727,0.054912970637555604,2,64.0,0.5,2,1.5437214966858779,65535,1,1,
1546731353.09,60,34:e6:ad:29:64:8b,Dell laptop,0,34,8204,1.8944315513098215,4,29.6774193548,0.333333333333,3,,17520,2,3,
1546731353.09,60,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,4,276,0.24348370086327265,1,64.0,1.0,1,0.008813086588535432,1628,0,0,
1546731353.09,60,5c:70:a3:61:5a:04,nexus 5x,0,37,8951,3.886549149523301,4,64.0,0.666666666667,3,1131556.3757047302,65535,2,2,
1546730843.36,600,f4:f5:e8:57:86:a6,Chromecast,1,916,151743,1.3526115854474574,18,79.4516853933,0.181818181818,11,3.6561574948122013,403,6,37,
1546730843.36,600,08:62:66:b2:82:d4,Asus ZenPad,0,89,22267,23.519377571181096,9,64.0,0.75,4,1539229.025671543,65535,3,5,57.0
1546730843.36,600,e0:94:67:31:ab:f0,lenovo laptop,0,879,173916,1.1803988254628022,22,117.620192308,0.25,8,,17520,8,12,
1546730843.36,600,dc:0b:34:f2:20:42,LG G3,0,19,3288,82.04926912662624,4,64.0,0.666666666667,3,28.434957798198937,65535,1,1,
1546730843.36,600,34:e6:ad:29:64:8b,Dell laptop,0,393,90360,1.868143933297288,23,45.1739130435,0.6,5,,17520,7,24,18.0
1546730843.36,600,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,77,25207,32.56363334289881,8,64.0,0.6,5,1095635.5638158252,65535,2,2,
1546730843.36,600,5c:70:a3:61:5a:04,nexus 5x,0,68,11128,22.867711976032574,8,64.0,0.6,5,29150988.206967816,65535,3,3,
1546731150.81,300,f4:f5:e8:57:86:a6,Chromecast,1,477,75633,1.3497284520859305,11,78.6923076923,0.285714285714,7,3.472209189865296,403,5,18,
1546731150.81,300,08:62:66:b2:82:d4,Asus ZenPad,0,28,3549,26.959941109578356,6,64.0,0.75,4,169219.3200387309,65535,2,2,57.0
1546731150.81,300,e0:94:67:31:ab:f0,lenovo laptop,0,380,60388,1.226224631423617,18,122.55227882,0.285714285714,7,,17520,3,4,
1546731150.81,300,dc:0b:34:f2:20:42,LG G3,0,15,2970,20.803173687541175,3,64.0,0.666666666667,3,7.067752695248322,65535,1,1,
1546731150.81,300,34:e6:ad:29:64:8b,Dell laptop,0,187,44480,1.890963805229814,13,40.9142857143,0.6,5,,17520,3,13,18.0
1546731150.81,300,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,54,20237,32.54959398883647,3,64.0,0.666666666667,3,98844.32584422572,65535,1,1,
1546731150.81,300,5c:70:a3:61:5a:04,nexus 5x,0,68,15620,14.217364790668487,6,64.0,0.666666666667,3,109044446.04008056,65535,3,3,
1546731286.92,180,f4:f5:e8:57:86:a6,Chromecast,1,389,60256,1.196548384452387,10,76.0,0.285714285714,7,1.2021867218811095,403,4,9,
1546731286.92,180,08:62:66:b2:82:d4,Asus ZenPad,0,2,179,0.0,1,64.0,1.0,1,,1386,0,0,
1546731286.92,180,e0:94:67:31:ab:f0,lenovo laptop,0,231,37420,1.282407742896971,15,120.167400881,0.285714285714,7,,17520,2,3,
1546731286.92,180,dc:0b:34:f2:20:42,LG G3,0,15,2970,20.803173687541175,3,64.0,0.666666666667,3,7.067752695248322,65535,1,1,
1546731286.92,180,34:e6:ad:29:64:8b,Dell laptop,0,116,27920,1.8574021915657661,8,44.8727272727,0.6,5,,17520,3,9,18.0
1546731286.92,180,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,5,318,1.6532463760883298,1,64.0,1.0,1,0.008813086588535432,1628,0,0,
1546731286.92,180,5c:70:a3:61:5a:04,nexus 5x,0,61,15117,8.412857188587802,6,64.0,0.666666666667,3,16072210.008447783,65535,3,3,
1546731413.14,60,f4:f5:e8:57:86:a6,Chromecast,1,63,26831,1.5093826291957608,8,101.573770492,0.333333333333,6,,403,2,2,
1546731413.14,60,e0:94:67:31:ab:f0,lenovo laptop,0,74,13873,1.2921755643450619,11,114.082191781,0.4,5,,1023,0,0,
1546731413.14,60,dc:0b:34:f2:20:42,LG G3,0,1,42,nan,0,,0,0,,,0,0,
1546731413.14,60,34:e6:ad:29:64:8b,Dell laptop,0,40,8734,1.8944373946582769,6,49.8461538462,0.6,5,,17520,3,3,18.0
1546731413.14,60,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,42,nan,0,,0,0,,,0,0,
1546731413.14,60,5c:70:a3:61:5a:04,nexus 5x,0,19,5857,1.911646047018295,3,64.0,0.5,2,58920.47580143932,65535,1,1,
1546731388.17,120,f4:f5:e8:57:86:a6,Chromecast,1,108,35080,1.5492616294748285,9,86.2524271845,0.333333333333,6,0.20703184900613883,403,4,8,
1546731388.17,120,08:62:66:b2:82:d4,Asus ZenPad,0,2,179,0.0,1,64.0,1.0,1,,1386,0,0,
1546731388.17,120,e0:94:67:31:ab:f0,lenovo laptop,0,165,25265,1.2912537924897571,15,121.728395062,0.285714285714,7,,17520,3,6,
1546731388.17,120,dc:0b:34:f2:20:42,LG G3,0,12,2769,1.2963240390911916,2,64.0,0.5,2,1.5437214966858779,65535,1,1,
1546731388.17,120,34:e6:ad:29:64:8b,Dell laptop,0,73,16861,1.923376050268271,7,39.652173913,0.6,5,,17520,3,5,18.0
1546731388.17,120,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,5,318,1.6532463760883298,1,64.0,1.0,1,0.008813086588535432,1628,0,0,
1546731388.17,120,5c:70:a3:61:5a:04,nexus 5x,0,52,14530,6.166071191661194,6,64.0,0.666666666667,3,1336467.9429052698,65535,3,3,
1546731473.41,60,f4:f5:e8:57:86:a6,Chromecast,1,50,9998,1.6527952209838017,8,110.775510204,0.4,5,0.052919905242267126,403,3,4,
1546731473.41,60,e0:94:67:31:ab:f0,lenovo laptop,0,103,15412,1.1426113935946005,16,128.0,0.4,5,,65535,3,6,
1546731473.41,60,34:e6:ad:29:64:8b,Dell laptop,0,46,10547,1.8132149495359535,5,58.7272727273,0.5,4,,17520,2,2,
1546731473.41,60,5c:70:a3:61:5a:04,nexus 5x,0,3,205,2.6044015884399414,1,64.0,1.0,1,,395,0,0,
1546731331.12,240,f4:f5:e8:57:86:a6,Chromecast,1,437,69380,1.2508464888564397,11,74.7102803738,0.285714285714,7,1.300081277440484,403,5,15,
1546731331.12,240,08:62:66:b2:82:d4,Asus ZenPad,0,9,791,54.17153254493025,1,64.0,1.0,1,260.7598184569565,1386,0,0,
1546731331.12,240,e0:94:67:31:ab:f0,lenovo laptop,0,320,52484,1.2554483129180511,20,121.52866242,0.285714285714,7,,65535,4,8,
1546731331.12,240,dc:0b:34:f2:20:42,LG G3,0,13,2882,41.98553329158104,2,64.0,0.5,2,1.5437214966858779,65535,1,1,
1546731331.12,240,34:e6:ad:29:64:8b,Dell laptop,0,152,35631,1.9094387071012209,11,43.3333333333,0.6,5,,17520,4,9,18.0
1546731331.12,240,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,6,431,61.4609999237133,1,64.0,1.0,1,0.008813086588535432,1628,0,0,
1546731331.12,240,5c:70:a3:61:5a:04,nexus 5x,0,61,15168,10.977200098362523,7,64.0,0.666666666667,3,23013157.983437292,65535,3,3,
1546731533.54,60,f4:f5:e8:57:86:a6,Chromecast,1,37,7502,1.6761208439106225,6,64.0,0.4,5,,403,2,3,
1546731533.54,60,08:62:66:b2:82:d4,Asus ZenPad,0,7,612,0.051737513033643184,1,64.0,1.0,1,0.20274737964284173,1386,0,0,
1546731533.54,60,e0:94:67:31:ab:f0,lenovo laptop,0,107,20767,1.0368369143259133,15,118.230769231,0.333333333333,6,,17520,2,3,
1546731533.54,60,dc:0b:34:f2:20:42,LG G3,0,1,113,nan,0,,0,0,,,0,0,
1546731533.54,60,34:e6:ad:29:64:8b,Dell laptop,0,32,8121,1.7699086721775437,4,22.8965517241,0.333333333333,3,,17520,1,1,
1546731533.54,60,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,113,nan,0,,0,0,,,0,0,
1546731533.54,60,5c:70:a3:61:5a:04,nexus 5x,0,2,155,0.0,0,,0,0,,,0,0,
1546731508.52,120,f4:f5:e8:57:86:a6,Chromecast,1,99,19734,1.6371380232806234,8,112.252631579,0.333333333333,6,0.06067096949148854,403,3,7,
1546731508.52,120,08:62:66:b2:82:d4,Asus ZenPad,0,7,612,0.051737513033643184,1,64.0,1.0,1,0.20274737964284173,1386,0,0,
1546731508.52,120,e0:94:67:31:ab:f0,lenovo laptop,0,245,53007,1.028018709214538,18,123.784232365,0.333333333333,6,,65535,4,6,
1546731508.52,120,dc:0b:34:f2:20:42,LG G3,0,1,113,nan,0,,0,0,,,0,0,
1546731508.52,120,34:e6:ad:29:64:8b,Dell laptop,0,104,23307,1.702378167119056,8,65.7959183673,0.6,5,,17520,6,6,44.0
1546731508.52,120,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,113,nan,0,,0,0,,,0,0,
1546731508.52,120,5c:70:a3:61:5a:04,nexus 5x,0,5,360,22.62421278084465,1,64.0,1.0,1,,395,0,0,
1546731467.09,180,f4:f5:e8:57:86:a6,Chromecast,1,141,28253,1.6410302483279768,10,97.9555555556,0.285714285714,7,3.0774554272350816,403,4,11,
1546731467.09,180,08:62:66:b2:82:d4,Asus ZenPad,0,7,612,0.051737513033643184,1,64.0,1.0,1,0.20274737964284173,1386,0,0,
1546731467.09,180,e0:94:67:31:ab:f0,lenovo laptop,0,339,66204,1.0619698662751136,20,124.19760479,0.333333333333,6,,65535,7,12,
1546731467.09,180,dc:0b:34:f2:20:42,LG G3,0,1,113,nan,0,,0,0,,,0,0,
1546731467.09,180,34:e6:ad:29:64:8b,Dell laptop,0,133,31207,1.8363050629231885,9,55.4285714286,0.6,5,,17520,6,7,44.0
1546731467.09,180,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,113,nan,0,,0,0,,,0,0,
1546731467.09,180,5c:70:a3:61:5a:04,nexus 5x,0,5,360,22.62421278084465,1,64.0,1.0,1,,395,0,0,
1546731593.76,60,f4:f5:e8:57:86:a6,Chromecast,1,51,9966,1.6099383174836295,8,109.84,0.4,5,2.2823386127390233,403,3,4,
1546731593.76,60,e0:94:67:31:ab:f0,lenovo laptop,0,134,31204,0.9955138393386135,14,128.0,0.4,5,,65535,2,3,
