slot_id,slot_width,mac,desc,isiot,dhcp_len,hostname,vendor_class_id,request_params,max_dhcp-size,msg_type,client_id
1474552988,157680000,5c:70:a3:61:5a:04,nexus 5x,0,15,'None','android-dhcp-8.1.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','1'; '3','\x01\\p\xa3aZ\x04'
1474552987.65,1,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,'Galaxy-A7-2017','android-dhcp-8.0.0',1; 3; 6; 43; 15; 51; 26; 59; 28; 58,'1500','3','\x01\xac\xaf\xb9w\xadf'
1510769555,157680000,ac:3f:a4:4d:69:f6,Bezeq smarthome,1,10,'Piper','None',1; 2; 3; 6; 12; 15; 28,'None','1'; '3','None'
